id,created_at,updated_at,value
99999999-9999-9999-9999-999999999999,2023-01-01 12:00:00,,Small
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2023-01-02 12:00:00,,Large
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2023-01-03 12:00:00,,Medium
cccccccc-cccc-cccc-cccc-cccccccccccc,2023-01-04 12:00:00,,Extra Small
dddddddd-dddd-dddd-dddd-dddddddddddd,2023-01-05 12:00:00,,Extra Large
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,2023-01-06 12:00:00,,Double XL
ffffffff-ffff-ffff-ffff-ffffffffffff,2023-01-07 12:00:00,,Triple XL
00000000-0000-0000-0000-000000000000,2023-01-08 12:00:00,,Quadruple XL
11111111-1111-1111-1111-111111111111,2023-01-09 12:00:00,,Single
22222222-2222-2222-2222-222222222222,2023-01-10 12:00:00,,Double
